Hướng;Đường trước nhà(m);Loại BDS;Pháp lý;Số lầu;Số phòng ngủ;Giá(Tỷ);Diện tích(m2);Địa chỉ;Tỉnh/ Thành phố;Quận/ Huyện;Mật độ dân số (người/km²);GDPD(%)
Tây Bắc;20.0;0;1;5;4;32.4;128.0; Đường Văn Phú, Phường Phú La, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;10.0;2;1;3;4;8.99;60.0; 28 Đường Số 4, Phường 16, Quận Gò Vấp, Hồ Chí Minh;7;Gò Vấp;34.36;5.81
_;5.0;2;1;5;4;7.9;50.0; Đường Tô Hiệu, Phường Hà Cầu, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;20.0;1;0;6;15;110.0;145.0; Đường Nguyễn Đình Chiểu, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh;7;Quận 3;38.852;5.81
_;20.0;1;0;3;5;86.0;175.0; Đường Trần Bình Trọng, Phường 3, Quận 5, Hồ Chí Minh;7;Quận 5;36.994;5.81
_;40.0;1;1;7;12;26.5;90.0; Đường Cộng Hòa, Phường 13, Quận Tân Bình, Hồ Chí Minh;7;Tân Bình;21.196;5.81
_;7.0;2;1;4;6;20.95;75.0; Phố Trần Quốc Hoàn, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội;3;Cầu Giấy;23.516;6.27
_;15.0;1;0;1;2;280.0;393.0; Đường Sương Nguyệt Ánh, Phường Bến Thành, Quận 1, Hồ Chí Minh;7;Quận 1;18.523;5.81
_;13.0;0;1;4;4;28.0;336.0; KĐT Đặng Xá - Cổ Bi- Gia Lâm – Hà Nội. Đường Cổ Bi, Xã Cổ Bi, Huyện Gia Lâm, Hà Nội;3;Gia Lâm;2.452;6.27
_;20.0;1;1;2;2;9.0;48.0; Đường Nguyễn Hồng Đào, Phường 14, Quận Tân Bình, Hồ Chí Minh;7;Tân Bình;21.196;5.81
_;3.0;2;1;3;3;7.3;75.0; Vạn Phúc, Hà Đông Phố Phan Đình Giót, Phường Quang Trung, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;20.0;1;0;1;1;92.0;240.0; Đường Lê Văn Sỹ, Phường 1, Quận Tân Bình, Hồ Chí Minh;7;Tân Bình;21.196;5.81
_;4.0;2;1;5;6;9.0;65.0; Phố Trịnh Công Sơn, Phường Nhật Tân, Quận Tây Hồ, Hà Nội;3;Tây Hồ;6.578;6.27
_;7.0;2;1;2;4;9.8;60.0; Đường Yên Thế, Phường 2, Quận Tân Bình, Hồ Chí Minh;7;Tân Bình;21.196;5.81
_;25.0;1;1;2;8;36.0;288.0; Đường Trường Chinh, Phường 14, Quận Tân Bình, Hồ Chí Minh;7;Tân Bình;21.196;5.81
_;12.0;1;1;8;1;69.0;200.0; Đường Hậu Giang, Phường 4, Quận Tân Bình, Hồ Chí Minh;7;Tân Bình;21.196;5.81
_;7.0;2;1;1;2;12.5;78.0; Đường Lê Văn Sỹ, Phường 1, Quận Tân Bình, Hồ Chí Minh;7;Tân Bình;21.196;5.81
_;8.0;2;1;1;2;7.0;60.0; Đường Ni Sư Huỳnh Liên, Phường 10, Quận Tân Bình, Hồ Chí Minh;7;Tân Bình;21.196;5.81
Bắc;12.0;0;0;3;5;36.0;200.0; Đường Số 12, Phường Tân Hưng, Quận 7, Hồ Chí Minh;7;Quận 7;10.088;5.81
Nam;16.0;1;1;2;3;20.5;108.0; Đường Số 40, Phường Tân Phong, Quận 7, Hồ Chí Minh;7;Quận 7;10.088;5.81
_;32.0;1;1;5;5;73.0;150.0; Phố Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội;3;Đống Đa;37.161;6.27
_;25.0;1;1;4;6;90.0;350.0; Phố Tôn Đức Thắng, Phường Hàng Bột, Quận Đống Đa, Hà Nội;3;Đống Đa;37.161;6.27
_;15.0;1;1;5;6;72.0;320.0; Đường Đặng Thai Mai, Phường Quảng An, Quận Tây Hồ, Hà Nội;3;Tây Hồ;6.578;6.27
_;20.0;1;0;8;15;152.0;174.0; Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh;7;Quận 1;18.523;5.81
_;4.0;2;0;2;3;3.9;38.0; Đường Bùi Đình Túy, Phường 12, Quận Bình Thạnh, Hồ Chí Minh;7;Bình Thạnh;23.998;5.81
_;3.0;2;1;5;4;5.0;48.0; Phố Phương Mai, Phường Phương Mai, Quận Đống Đa, Hà Nội;3;Đống Đa;37.161;6.27
_;3.0;2;1;5;4;5.5;42.0; Phố Cát Linh, Phường Hàng Bột, Quận Đống Đa, Hà Nội;3;Đống Đa;37.161;6.27
_;3.0;2;0;5;6;8.0;65.0; Phố Pháo Đài Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội;3;Đống Đa;37.161;6.27
_;20.0;1;0;12;30;780.0;600.0; Đường Nam Quốc Cang, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh;7;Quận 1;18.523;5.81
Tây Nam;14.0;1;1;1;2;19.5;117.0; Đường số 1, Phường Tân Phú, Quận 7, Hồ Chí Minh;7;Quận 7;10.088;5.81
Bắc;105.0;1;1;3;6;13.5;115.0; Đường Trần Cao Vân, Phường Tam Thuận, Quận Thanh Khê, Đà Nẵng;8;Thanh Khê;19.48;2.58
_;20.0;1;0;1;1;750.0;1.077; Đường Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, Hồ Chí Minh;7;Quận 1;18.523;5.81
_;3.0;2;1;4;4;5.4;46.0; Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội;3;Hoàng Mai;12.564;6.27
_;3.0;2;1;5;3;4.7;42.0; Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội;3;Hoàng Mai;12.564;6.27
_;3.0;2;1;5;5;6.2;55.0; Đường Trương Định, Phường Tương Mai, Quận Hoàng Mai, Hà Nội;3;Hoàng Mai;12.564;6.27
_;20.0;1;0;3;4;33.0;157.0; Đường Bạch Đằng, Phường Lộc Thọ, Thành phố Nha Trang, Khánh Hòa;5;Nha Trang;1.662;10.35
_;18.0;0;0;3;5;28.0;330.0; Đường A1, Phường Phước Hải, Thành phố Nha Trang, Khánh Hòa;5;Nha Trang;1.662;10.35
_;20.0;1;0;15;25;125.0;508.0; Đường Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, Hồ Chí Minh;7;Quận 1;18.523;5.81
_;8.0;0;0;1;9;34.0;290.0; Đường Bàu Cát, Phường 12, Quận Tân Bình, Hồ Chí Minh;7;Tân Bình;21.196;5.81
Đông Bắc;10.0;1;1;4;4;3.5;48.0; Quốc Lộ 5, Phường Hùng Vương, Quận Hồng Bàng, Hải Phòng;4;Hồng Bàng;6.628;10.34
_;18.0;1;0;2;10;70.0;168.0; Phố Hàng Đào, Phường Hàng Đào, Quận Hoàn Kiếm, Hà Nội;3;Hoàn Kiếm;25.588;6.27
_;18.0;1;0;1;5;107.0;516.0; Phố Hàng Chuối, Phường Phạm Đình Hổ, Quận Hai Bà Trưng, Hà Nội;3;Hai Bà Trưng;29.474;6.27
_;10.0;1;1;3;5;14.2;103.0; Đường Nguyễn Thị Minh Khai, Phường 8, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu;0;Vũng Tàu;2.374;0
_;14.0;1;0;3;3;5.6;204.0; Đường B3, Phường Phước Long, Thành phố Nha Trang, Khánh Hòa;5;Nha Trang;1.662;10.35
_;7.0;1;0;2;4;3.5;52.0; Đường Cư Xá Nguyễn Trung Trực, Phường 10, Quận 10, Hồ Chí Minh;7;Quận 10;41.196;5.81
_;6.0;2;1;2;3;3.1;56.0; Đường Lạc Long Quân, Phường 10, Quận Tân Bình, Hồ Chí Minh;7;Tân Bình;21.196;5.81
_;7.0;1;1;2;4;2.2;60.0; Đường Đặng Văn Bi, Phường Trường Thọ, Thành phố Thủ Đức, Hồ Chí Minh;7;Thủ Đức;4.791;5.81
Tây Nam;22.0;0;1;6;13;25.5;156.0; Đường Lê Văn Thịnh, Phường Tiền An, Thành phố Bắc Ninh, Bắc Ninh;1;Bắc Ninh;2.999;-9.28
Tây Bắc;14.0;0;0;3;6;16.8;192.0; Phường Võ Cường, Thành phố Bắc Ninh, Bắc Ninh;1;Bắc Ninh;2.999;-9.28
_;18.0;1;1;2;10;49.0;212.0; Đường Trần Hưng Đạo, Phường Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội;3;Hoàn Kiếm;25.588;6.27
_;6.0;0;1;4;5;19.5;120.0; Đường Phan Đăng Lưu, Phường 6, Quận Bình Thạnh, Hồ Chí Minh;7;Bình Thạnh;23.998;5.81
_;15.0;1;1;6;7;12.0;60.0; Đường Trần Bình Trọng, Phường 5, Quận Bình Thạnh, Hồ Chí Minh;7;Bình Thạnh;23.998;5.81
Đông Nam;8.0;1;1;3;3;2.6;62.0; Đường Nguyễn Lương Bằng, Phường Phù Liễn, Quận Kiến An, Hải Phòng;4;Kiến An;3.988;10.34
_;10.0;2;1;5;5;13.9;80.0; Đường Bùi Đình Túy, Phường 12, Quận Bình Thạnh, Hồ Chí Minh;7;Bình Thạnh;23.998;5.81
_;15.0;1;0;6;10;45.0;170.0; Đường Lê Văn Việt, Phường Tăng Nhơn Phú B, Thành phố Thủ Đức, Hồ Chí Minh;7;Thủ Đức;4.791;5.81
_;12.0;1;1;5;6;9.9;80.0; Đường Số 3, Phường 11, Quận 6, Hồ Chí Minh;7;Quận 6;32.439;5.81
_;18.0;1;0;2;4;86.0;206.0; Phố Hàng Bạc, Phường Hàng Bạc, Quận Hoàn Kiếm, Hà Nội;3;Hoàn Kiếm;25.588;6.27
_;4.0;2;0;5;5;11.0;60.0; Phố Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân, Hà Nội;3;Thanh Xuân;32.255;6.27
_;16.0;0;1;6;8;19.5;100.0; Đường Lý Thường Kiệt, Phường 14, Quận 10, Hồ Chí Minh;7;Quận 10;41.196;5.81
_;30.0;1;0;4;6;32.0;90.0; Đường 3/2, Phường 10, Quận 10, Hồ Chí Minh;7;Quận 10;41.196;5.81
_;30.0;1;0;6;10;30.0;100.0; Đường Hồng Bàng, Phường 11, Quận 5, Hồ Chí Minh;7;Quận 5;36.994;5.81
_;30.0;1;1;4;4;22.0;62.0; Phố Khâm Thiên, Phường Khâm Thiên, Quận Đống Đa, Hà Nội;3;Đống Đa;37.161;6.27
Đông Nam;10.0;1;1;3;5;14.0;183.0; Đường Nguyễn Hới, Phường Nguyễn An Ninh, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu;0;Vũng Tàu;2.374;0
Tây Bắc;20.0;1;1;2;2;10.5;47.0; Đường Trương Công Định, Phường 3, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu;0;Vũng Tàu;2.374;0
Tây Nam;20.0;1;1;1;2;9.0;67.0; Đường Lê Lai, Phường 3, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu;0;Vũng Tàu;2.374;0
Tây Bắc;20.0;1;1;6;16;27.5;215.0; Đường Trương Công Định, Phường 3, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu;0;Vũng Tàu;2.374;0
_;20.0;1;1;1;9;13.8;150.0; Đường Dương Thị Mười, Phường Hiệp Thành, Quận 12, Hồ Chí Minh;7;Quận 12;11.745;5.81
_;18.0;1;1;8;14;38.0;88.0; Phố Hàng Đậu, Phường Đồng Xuân, Quận Hoàn Kiếm, Hà Nội;3;Hoàn Kiếm;25.588;6.27
Tây Bắc;7.0;1;1;5;4;11.3;69.0; Đường 19 tháng 5, Phường Văn Quán, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;10.0;1;1;1;4;1.6;125.0; Đường Nguyễn Hữu Trí, Thị trấn Tân Túc, Huyện Bình Chánh, Hồ Chí Minh;7;Bình Chánh;2.792;5.81
_;18.0;1;1;1;1;87.0;280.0; Đường Nguyễn Đình Thi, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội;3;Tây Hồ;6.578;6.27
_;18.0;1;1;21;41;838.0;2.112; Đường Đào Tấn, Phường Liễu Giai, Quận Ba Đình, Hà Nội;3;Ba Đình;24.119;6.27
Tây Bắc;3.0;2;1;5;3;3.6;33.0; Đường 19 tháng 5, Phường Văn Quán, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;3.0;1;1;4;5;20.0;171.0; Đường Nguyễn Trãi, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội;3;Thanh Xuân;32.255;6.27
_;6.0;1;1;4;5;43.0;140.0; Phố Ngụy Như Kon Tum, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội;3;Thanh Xuân;32.255;6.27
Tây Nam;3.0;2;1;5;3;3.2;36.0; Đường Bà Triệu, Phường Kiến Hưng, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
Nam;16.0;1;1;4;10;23.0;130.0; Đường Hoàng Diệu, Phường 5, Thành phố Đà Lạt, Lâm Đồng;6;Đà Lạt;574.0;5.63
Tây Bắc;4.0;0;1;4;8;29.9;511.0; Đường Phù Đổng Thiên Vương, Phường 8, Thành phố Đà Lạt, Lâm Đồng;6;Đà Lạt;574.0;5.63
Đông;3.0;0;1;5;4;3.8;35.0; Đường Trần Phú, Phường Văn Quán, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;18.0;1;0;2;10;150.0;290.0; Phố Hàng Trống, Phường Hàng Trống, Quận Hoàn Kiếm, Hà Nội;3;Hoàn Kiếm;25.588;6.27
Tây;20.0;1;1;4;4;20.5;133.0; Đường Nguyễn Văn Linh, Phường Tân Hưng, Quận 7, Hồ Chí Minh;7;Quận 7;10.088;5.81
Đông Nam;30.0;1;1;5;5;21.0;392.0; Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh;7;Quận 7;10.088;5.81
Đông Nam;30.0;1;1;1;2;55.0;375.0; Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh;7;Quận 7;10.088;5.81
_;6.0;1;0;4;6;10.0;32.0; Phố Khương Thượng, Phường Khương Thượng, Quận Đống Đa, Hà Nội;3;Đống Đa;37.161;6.27
_;4.0;2;0;3;20;26.5;105.0; Phố Huỳnh Thúc Kháng, Phường Láng Hạ, Quận Đống Đa, Hà Nội;3;Đống Đa;37.161;6.27
_;18.0;1;1;7;35;218.0;400.0; Phố Tràng Tiền, Phường Tràng Tiền, Quận Hoàn Kiếm, Hà Nội;3;Hoàn Kiếm;25.588;6.27
_;18.0;1;1;9;24;180.0;250.0; Phố Ngô Quyền, Phường Tràng Tiền, Quận Hoàn Kiếm, Hà Nội;3;Hoàn Kiếm;25.588;6.27
_;18.0;1;1;9;27;123.0;236.0; Phố Nguyễn Du, Phường Nguyễn Du, Quận Hai Bà Trưng, Hà Nội;3;Hai Bà Trưng;29.474;6.27
_;7.0;2;0;1;2;5.2;40.0; Đường Huỳnh Khương An, Phường 5, Quận Gò Vấp, Hồ Chí Minh;7;Gò Vấp;34.36;5.81
_;24.0;1;1;7;28;250.0;500.0; Phố Liễu Giai, Phường Liễu Giai, Quận Ba Đình, Hà Nội;3;Ba Đình;24.119;6.27
Tây Bắc;3.0;2;1;4;4;4.5;51.0; Đường Hà Trì, Phường Hà Cầu, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;18.0;1;1;5;10;38.5;75.0; Phố Nguyễn Hữu Huân, Phường Hàng Bạc, Quận Hoàn Kiếm, Hà Nội;3;Hoàn Kiếm;25.588;6.27
Tây Nam;3.0;2;1;4;4;2.7;34.0; Đường Mậu Lương, Phường Kiến Hưng, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;24.0;1;1;7;10;45.0;100.0; Phố Huế, Phường Phố Huế, Quận Hai Bà Trưng, Hà Nội;3;Hai Bà Trưng;29.474;6.27
Đông Bắc;14.0;0;1;5;5;14.0;95.0; Đường Văn Phú, Phường Phú La, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;20.0;1;1;2;6;28.0;127.0; Đường Nguyễn Văn Đậu, Phường 11, Quận Bình Thạnh, Hồ Chí Minh;7;Bình Thạnh;23.998;5.81
_;12.0;1;1;3;6;29.0;161.0; Đường Ung Văn Khiêm, Phường 25, Quận Bình Thạnh, Hồ Chí Minh;7;Bình Thạnh;23.998;5.81
_;18.0;1;1;10;20;80.0;198.0; Phố Nguyễn Thái Học, Phường Cửa Nam, Quận Hoàn Kiếm, Hà Nội;3;Hoàn Kiếm;25.588;6.27
_;10.0;1;1;2;4;42.0;165.0; Đường D2, Phường 25, Quận Bình Thạnh, Hồ Chí Minh;7;Bình Thạnh;23.998;5.81
_;10.0;1;1;2;4;39.0;230.0; Đường Bạch Đằng, Phường 24, Quận Bình Thạnh, Hồ Chí Minh;7;Bình Thạnh;23.998;5.81
_;20.0;1;1;4;6;55.0;197.0; Đường Tân Cảng, Phường 25, Quận Bình Thạnh, Hồ Chí Minh;7;Bình Thạnh;23.998;5.81
_;12.0;1;1;3;6;75.0;375.0; Đường Ung Văn Khiêm, Phường 25, Quận Bình Thạnh, Hồ Chí Minh;7;Bình Thạnh;23.998;5.81
_;12.0;1;1;3;6;21.0;194.0; Đường D2, Phường 25, Quận Bình Thạnh, Hồ Chí Minh;7;Bình Thạnh;23.998;5.81
_;5.0;0;0;5;6;11.599;50.0; Phố Trung Kính, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội;3;Cầu Giấy;23.516;6.27
_;15.0;1;1;3;5;9.8;72.0; Đường Cư Xá Phú Lâm D, Phường 10, Quận 6, Hồ Chí Minh;7;Quận 6;32.439;5.81
_;12.0;0;1;6;29;57.0;235.0; Đường Nguyễn Văn Hưởng, Phường Thảo Điền, Thành phố Thủ Đức, Hồ Chí Minh;7;Thủ Đức;4.791;5.81
Bắc;12.0;0;1;3;3;3.7;75.0; Đường Hữu Nghị, Phường Phù Chẩn, Thành phố Từ Sơn, Bắc Ninh;1;Từ Sơn;2.887;-9.28
_;18.0;1;0;10;20;75.0;180.0; Phố Xã Đàn, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội;3;Đống Đa;37.161;6.27
Đông Nam;15.0;1;1;3;4;7.95;97.0; Đường Trần Nam Trung, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng;8;Cẩm Lệ;4.45;2.58
_;24.0;1;1;1;1;150.0;525.0; Đường Trần Hưng Đạo, Phường Phan Chu Trinh, Quận Hoàn Kiếm, Hà Nội;3;Hoàn Kiếm;25.588;6.27
_;5.0;1;1;5;5;5.25;48.0; Đường Kim Giang, Phường Kim Giang, Quận Thanh Xuân, Hà Nội;3;Thanh Xuân;32.255;6.27
_;18.0;0;0;4;4;18.0;305.0; Đường số 3, Phường Phước Hải, Thành phố Nha Trang, Khánh Hòa;5;Nha Trang;1.662;10.35
_;18.0;1;0;4;4;7.4;100.0; Đường 8B, Phường Phước Hải, Thành phố Nha Trang, Khánh Hòa;5;Nha Trang;1.662;10.35
_;5.0;2;0;3;3;3.3;100.0; Đường Tôn Đức Thắng, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng;8;Cẩm Lệ;4.45;2.58
_;4.0;2;0;5;4;8.3;60.0; Phố Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội;3;Thanh Xuân;32.255;6.27
_;60.0;1;1;1;3;7.5;50.0; Đường Võ Văn Kiệt, Phường 3, Quận 6, Hồ Chí Minh;7;Quận 6;32.439;5.81
_;16.0;1;0;3;4;6.0;75.0; Đường A2, Phường Phước Long, Thành phố Nha Trang, Khánh Hòa;5;Nha Trang;1.662;10.35
_;18.0;1;1;8;32;66.0;958.0; Phố Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội;3;Hoàng Mai;12.564;6.27
_;21.0;1;1;3;2;26.5;100.0; Đường Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên, Hà Nội;3;Long Biên;5.394;6.27
_;9.0;0;1;4;4;17.0;180.0; Đường Tư Đình, Phường Long Biên, Quận Long Biên, Hà Nội;3;Long Biên;5.394;6.27
_;8.0;1;1;4;3;5.0;45.0; Đường Phú Viên, Phường Bồ Đề, Quận Long Biên, Hà Nội;3;Long Biên;5.394;6.27
_;22.0;1;1;5;4;24.5;103.0; Phố Trạm, Phường Long Biên, Quận Long Biên, Hà Nội;3;Long Biên;5.394;6.27
_;16.0;0;0;3;4;48.0;405.0; Đường Nguyễn Văn Công, Phường 3, Quận Gò Vấp, Hồ Chí Minh;7;Gò Vấp;34.36;5.81
_;24.0;1;1;1;1;229.0;615.0; Phố Hàng Bài, Phường Hàng Bài, Quận Hoàn Kiếm, Hà Nội;3;Hoàn Kiếm;25.588;6.27
_;30.0;1;0;3;4;5.8;77.0; Đường Cầu Dứa - Phú Nông, Xã Vĩnh Hiệp, Thành phố Nha Trang, Khánh Hòa;5;Nha Trang;1.662;10.35
_;18.0;1;1;10;16;250.0;489.0; Phố Trần Phú, Phường Điện Biên, Quận Ba Đình, Hà Nội;3;Ba Đình;24.119;6.27
_;18.0;1;1;9;16;115.0;260.0; Phố Trúc Bạch, Phường Trúc Bạch, Quận Ba Đình, Hà Nội;3;Ba Đình;24.119;6.27
_;12.0;1;0;1;2;9.8;96.0; Đường Lê Văn Tám, Phường 10, Thành phố Đà Lạt, Lâm Đồng;6;Đà Lạt;574.0;5.63
_;20.0;1;1;1;2;0.97;90.0; Đường Hoàng Phan Thái, Xã Bình Chánh, Huyện Bình Chánh, Hồ Chí Minh;7;Bình Chánh;2.792;5.81
_;20.0;1;1;1;3;1.2;100.0; Đường Huỳnh Hữu Trí, Xã Bình Chánh, Huyện Bình Chánh, Hồ Chí Minh;7;Bình Chánh;2.792;5.81
_;20.0;1;1;1;2;1.2;80.0; Đường Đoàn Nguyễn Tuấn, Xã Tân Quý Tây, Huyện Bình Chánh, Hồ Chí Minh;7;Bình Chánh;2.792;5.81
_;24.0;1;1;7;16;75.0;130.0; Phố Hai Bà Trưng, Phường Cửa Nam, Quận Hoàn Kiếm, Hà Nội;3;Hoàn Kiếm;25.588;6.27
_;18.0;1;1;3;10;80.0;350.0; Đường Nguyễn Đình Thi, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội;3;Tây Hồ;6.578;6.27
_;25.0;1;1;7;12;20.0;90.0; Đường Đỗ Ngọc Thạnh, Phường 15, Quận 5, Hồ Chí Minh;7;Quận 5;36.994;5.81
Tây Bắc;15.0;1;1;5;5;15.0;98.0; Đường Phan Đăng Lưu, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng;8;Hải Châu;8.649;2.58
_;20.0;1;0;3;10;30.0;240.0; Đường Bình Phú, Phường 10, Quận 6, Hồ Chí Minh;7;Quận 6;32.439;5.81
_;10.0;1;1;1;3;3.2;197.0; Đường Hùng Vương, Phường Hòa Long, Thành phố Bà Rịa, Bà Rịa Vũng Tàu;0;Bà Rịa;1.195;0
_;18.0;1;1;5;8;38.5;130.0; Phố Lò Đúc, Phường Phạm Đình Hổ, Quận Hai Bà Trưng, Hà Nội;3;Hai Bà Trưng;29.474;6.27
_;24.0;1;1;6;10;40.0;100.0; Phố Huế, Phường Nguyễn Du, Quận Hai Bà Trưng, Hà Nội;3;Hai Bà Trưng;29.474;6.27
_;18.0;1;0;3;4;5.5;62.0; Đường B7, Phường Phước Hải, Thành phố Nha Trang, Khánh Hòa;5;Nha Trang;1.662;10.35
Tây Nam;20.0;0;1;3;5;9.0;120.0; Đường Tú Xương, Phường An Bình, Quận Ninh Kiều, Cần Thơ;2;Ninh Kiều;9.606;5.75
Đông Nam;40.0;1;1;1;1;23.0;235.0; Đường 3 tháng 2, Phường Xuân Khánh, Quận Ninh Kiều, Cần Thơ;2;Ninh Kiều;9.606;5.75
Đông Nam;40.0;1;1;1;2;14.0;124.0; Đường Nguyễn Văn Cừ, Phường An Khánh, Quận Ninh Kiều, Cần Thơ;2;Ninh Kiều;9.606;5.75
Đông Bắc;30.0;0;1;4;6;13.5;240.0; Đường số 1B, Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ;2;Cái Răng;1.578;5.75
Đông Nam;40.0;1;1;3;3;15.0;91.0; Đường 30 Tháng 4, Phường Hưng Lợi, Quận Ninh Kiều, Cần Thơ;2;Ninh Kiều;9.606;5.75
Tây Bắc;6.0;2;1;1;3;13.0;252.0; Đường 30 Tháng 4, Phường Xuân Khánh, Quận Ninh Kiều, Cần Thơ;2;Ninh Kiều;9.606;5.75
_;2.0;2;1;4;3;3.35;30.0; Đường Nguyễn Khoái, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội;3;Hai Bà Trưng;29.474;6.27
_;2.0;2;1;4;2;3.3;33.0; Đường Trần Khát Chân, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội;3;Hai Bà Trưng;29.474;6.27
_;2.0;2;1;5;2;1.65;15.0; Đường Đê Trần Khát Chân, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội;3;Hai Bà Trưng;29.474;6.27
_;3.0;2;1;5;4;4.65;42.0; Phố Bạch Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội;3;Hai Bà Trưng;29.474;6.27
_;3.0;2;1;4;2;6.0;41.0; Đường Minh Khai, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội;3;Hai Bà Trưng;29.474;6.27
_;2.0;2;1;3;3;2.7;30.0; Đường Nguyễn Khoái, Phường Vĩnh Hưng, Quận Hoàng Mai, Hà Nội;3;Hoàng Mai;12.564;6.27
_;2.0;2;1;4;2;3.85;35.0; Phố Bạch Đằng, Phường Bạch Đằng, Quận Hai Bà Trưng, Hà Nội;3;Hai Bà Trưng;29.474;6.27
_;3.0;2;1;5;6;7.5;45.0; Đường Minh Khai, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội;3;Hai Bà Trưng;29.474;6.27
_;2.0;2;1;5;6;5.0;43.0; Đường Trần Khát Chân, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội;3;Hai Bà Trưng;29.474;6.27
_;2.0;2;1;4;4;4.0;40.0; Phố Tạ Quang Bửu, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội;3;Hai Bà Trưng;29.474;6.27
_;4.0;2;1;4;4;6.0;48.0; Phố Lạc Trung, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội;3;Hai Bà Trưng;29.474;6.27
_;4.0;2;1;3;2;6.0;30.0; Phố Lò Đúc, Phường Đồng Nhân, Quận Hai Bà Trưng, Hà Nội;3;Hai Bà Trưng;29.474;6.27
_;2.0;2;1;3;2;3.65;36.0; Phố Phan Văn Trị, Phường Hàng Bột, Quận Đống Đa, Hà Nội;3;Đống Đa;37.161;6.27
_;4.0;2;1;5;6;11.0;59.0; Đường Đầm Trấu, Phường Bạch Đằng, Quận Hai Bà Trưng, Hà Nội;3;Hai Bà Trưng;29.474;6.27
_;2.0;2;1;5;6;5.5;44.0; Đường Trần Khát Chân, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội;3;Hai Bà Trưng;29.474;6.27
_;5.0;2;1;4;4;8.0;41.0; Phố Bạch Đằng, Phường Bạch Đằng, Quận Hai Bà Trưng, Hà Nội;3;Hai Bà Trưng;29.474;6.27
_;3.0;2;1;4;4;5.0;52.0; Phố Bạch Đằng, Phường Bạch Đằng, Quận Hai Bà Trưng, Hà Nội;3;Hai Bà Trưng;29.474;6.27
_;2.0;2;1;4;3;3.45;30.0; Đường Minh Khai, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội;3;Hai Bà Trưng;29.474;6.27
